"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Talisker 10yo","8.92","0.18","22","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts The Rockpool","8.91","0.28","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Mizunara Cask Finish","8.89","0.44","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Charlotte PC10 (Second Edition)","8.89","0.17","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 25yo","8.88","0.21","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 21yo Authenticus Peated","8.87","0.34","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 10yo Tempest","8.82","0.17","18","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Paul John Bold","8.82","0.23","4","$$$","SingleMalt-like","I","I","India","Malt"
"Big Peat (Douglas Laing)","8.80","0.22","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Cask Strength","8.79","0.07","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Hakushu Single Malt Heavily Peated","8.79","0.33","12","$$$$$+","SingleMalt-like","I","I","Japan","Malt"
"Highland Park 12yo (reviews pre-mid 2014)","8.79","0.25","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Pure Malt Black","8.79","0.22","13","$$$","SingleMalt-like","I","I","Japan","Malt"
"Springbank 12yo Green","8.79","0.27","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Infinity Third Edition","8.78","0.27","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kavalan Distillery Reserve Peaty Cask","8.76","0.34","4","$$$$$+","SingleMalt-like","I","I","Taiwan","Malt"
"Nikka Yoichi 12yo","8.76","0.20","9","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"Paul John Peated Select Cask","8.76","0.28","8","$$$$","SingleMalt-like","I","I","India","Malt"
"Port Charlotte Scottish Barley Heavily Peated","8.75","0.26","15","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban 18yo","8.74","0.18","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Dark Storm","8.74","0.13","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Sanaig","8.73","0.28","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 12yo","8.72","0.18","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Mackmyra Svensk Rök","8.72","0.14","4","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Highland Park 15yo Freya","8.71","0.39","12","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Kilchoman Coull Point","8.71","0.26","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Charlotte An Turas Mor","8.71","0.28","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benromach 10yo","8.70","0.27","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank 10yo","8.70","0.25","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 17yo Ice","8.69","0.27","8","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Port Charlotte 10yo Heavily Peated","8.69","0.24","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Port Charlotte PC12 Oileanach Furachail","8.69","0.63","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (all reviews)","8.68","0.21","23","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 15yo","8.68","0.30","11","$$$$$","SingleMalt-like","I","I","Japan","Malt"
"BenRiach 25yo Authenticus Peated","8.66","0.57","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 18yo","8.66","0.49","14","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Pure Malt White","8.66","0.32","12","$$$","SingleMalt-like","I","I","Japan","Malt"
"Nikka Yoichi 10yo","8.66","0.29","17","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Bowmore 15yo Mariner","8.64","0.45","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Vault Edition First Release","8.63","0.21","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Talisker Storm","8.62","0.26","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 10yo Curiositas","8.61","0.30","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach Peated Quarter Casks","8.59","0.30","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenfiddich Vintage Cask","8.59","0.11","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Fettercairn Fior","8.58","0.38","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Tycho’s Star","8.58","0.07","3","$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Bruichladdich Islay Barley (all vintages)","8.57","0.24","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 18yo","8.56","0.46","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Compass Box Eleuthera","8.56","0.39","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 7yo Gaja Barolo Finish","8.56","0.54","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Ardmore Traditional Cask","8.55","0.18","19","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 12yo","8.55","0.30","8","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Glen Garioch 1997","8.54","0.15","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Westland Peated","8.54","0.59","8","$$$$","SingleMalt-like","I","I","USA","Malt"
"Spirit of Hven Seven Stars No. 3 Phecda","8.53","0.33","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"GlenDronach Peated","8.51","0.30","9","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 10yo","8.50","0.27","14","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo White Sands","8.49","0.53","5","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Wemyss Malts Peat Chimney","8.48","0.36","12","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Miyagikyo 10yo","8.47","0.32","7","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Oban 14yo","8.47","0.38","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benromach Sassicaia","8.45","0.25","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Nikka Yoichi NAS","8.45","0.32","9","$$$$","SingleMalt-like","I","I","Japan","Malt"
"Highland Park 12yo (reviews post-mid 2014)","8.44","0.35","13","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Paul John Edited","8.41","0.53","7","$$$","SingleMalt-like","I","I","India","Malt"
"Bowmore 12yo","8.40","0.28","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Oban Little Bay","8.40","0.41","10","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 2 Merak","8.40","0.25","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Bowmore 17yo","8.35","0.65","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Gold Reef","8.35","0.33","8","$$","SingleMalt-like","I","I","Scotland","Malt"
"Ledaig 10yo","8.34","0.37","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Scotia 12yo","8.32","0.52","9","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Penderyn Peated","8.30","0.56","9","$$$$","SingleMalt-like","I","I","Wales","Malt"
"BenRiach Birnie Moss","8.29","0.34","10","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Spirit of Hven Seven Stars No. 1 Dubhe","8.29","0.41","3","$$$$$","SingleMalt-like","I","I","Sweden","Malt"
"Bowmore Small Batch","8.27","0.54","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Einar","8.27","0.38","7","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Old Ballantruan Peated (Toumintoul)","8.27","0.39","8","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jura Superstition","8.26","0.44","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Springbank CV","8.26","0.37","8","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich 8yo Laddie Eight","8.25","0.62","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"St George's Chapter 9 (peated)","8.22","0.44","5","$$$","SingleMalt-like","I","I","England","Malt"
"Connemara Peated Single Malt","8.21","0.31","15","$$$","SingleMalt-like","I","I","Ireland","Malt"
"Glenrothes Peated Cask Reserve","8.12","0.54","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jura 10yo Origin","8.06","0.35","16","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Peated (all editions)","7.91","0.56","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glenfiddich 12yo Caoran Reserve","7.85","0.52","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Legend","7.68","0.56","10","$$","SingleMalt-like","I","I","Scotland","Malt"
"Longrow 10yo Tokaji Finish","7.48","1.09","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Brora 35yo","9.43","0.34","10","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Brora 30yo","9.29","0.21","17","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 16yo","9.22","0.24","26","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 21yo","9.22","0.24","9","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Uigeadail","9.20","0.41","22","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 21yo","9.19","0.24","10","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2015","9.16","0.17","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Peated Single Malt Cask Strength","9.15","0.18","9","$$$$","SingleMalt-like","J","J","India","Malt"
"Bruichladdich Octomore 10 (Second Edition)","9.13","0.20","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 12yo Cask Strength","9.12","0.18","19","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow 18yo","9.10","0.27","10","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Corryvreckan","9.09","0.31","20","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.2","9.09","0.24","8","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2014","9.06","0.31","14","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Alligator","9.05","0.16","13","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 17yo","9.04","0.25","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin Distiller's Edition (All Vintages)","9.04","0.22","20","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.3","9.03","0.42","6","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 18yo","9.03","0.27","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Ardbog","9.02","0.44","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman 2008 Vintage","9.02","0.21","5","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2015","9.00","0.32","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.1","8.99","0.27","11","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Cutter","8.98","0.47","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo Cask Strength (all batches)","8.96","0.35","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman 2007 Vintage","8.95","0.29","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2014 Amontillado","8.95","0.22","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Box The Festival 2014","8.94","0.14","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Bruichladdich Octomore 7.2","8.94","0.29","7","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Original Cask Strength","8.94","0.58","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 10yo","8.93","0.32","23","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut 100 Peated","8.92","0.38","6","$$$$","SingleMalt-like","J","J","India","Malt"
"AnCnoc Rutter","8.92","0.30","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Smögen Single Cask (2010/2011)","8.92","0.15","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Ardbeg Perpetuum","8.91","0.36","14","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Dark Cove","8.89","0.33","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Port Charlotte Islay Barley Heavily Peated","8.89","0.18","3","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10","8.88","0.39","5","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Auriverdes","8.87","0.37","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo","8.87","0.24","20","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig An Cuan Mor","8.87","0.14","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Brora 21yo","8.86","0.40","4","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 8yo","8.86","0.26","16","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Big Peat Christmas Edition (2012-2016)","8.85","0.16","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2016 Madeira","8.85","0.41","12","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Portpipe Peated Single Cask","8.83","0.34","9","$$$$","SingleMalt-like","J","J","India","Malt"
"Longrow CV","8.83","0.29","15","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Longrow Peated","8.83","0.17","12","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Ceòbanach","8.81","0.28","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 15yo (200th Anniversary)","8.80","0.29","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Kelpie","8.79","0.08","6","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ichiro's Malt Chichibu The Peated","8.79","0.30","7","$$$$$+","SingleMalt-like","J","J","Japan","Malt"
"Wemyss Malts Kiln Embers","8.78","0.1","3","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ileach Peated Islay Cask Strength","8.77","0.38","10","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Machir Bay (all vintages)","8.77","0.23","20","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman 100% Islay (all editions)","8.76","0.25","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Connemara Turf Mor","8.75","0.45","11","$$$$","SingleMalt-like","J","J","Ireland","Malt"
"Bruichladdich Octomore 6.3","8.74","0.63","8","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Spring 2011 Release","8.74","0.24","8","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.1","8.73","0.26","13","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 18yo Dunder","8.70","0.25","4","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Triple Wood","8.70","0.34","17","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Amrut Peated Single Malt","8.69","0.33","11","$$$$","SingleMalt-like","J","J","India","Malt"
"Caol Ila Distiller's Edition (all editions)","8.67","0.38","12","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box Peat Monster","8.66","0.32","18","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jura Prophecy","8.66","0.31","15","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Lore","8.62","0.32","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Flaughter","8.60","0.31","10","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Toiteach","8.59","0.38","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.4","8.57","0.69","7","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 17yo Septendecim Peated","8.54","0.55","17","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Winter 2010 Release","8.54","0.15","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Port Charlotte The Peat Project","8.51","0.38","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Finlaggan Old Reserve","8.45","0.50","14","$$","SingleMalt-like","J","J","Scotland","Malt"
"Benromach Peat Smoke","8.44","0.27","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ileach Peated Islay","8.38","0.25","7","$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Quarter Cask","8.31","0.26","21","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"McClelland's Islay Single Malt","7.97","0.63","8","$$","SingleMalt-like","J","J","Scotland","Malt"
"Tomintoul Peaty Tang","7.90","0.7","11","$$","SingleMalt-like","J","J","Scotland","Malt"
"Santis Edition Dreifaltigkeit / Cask Strength Peated","7.37","1.67","9","$$$$","SingleMalt-like","J","J","Switzerland","Malt"
"Laphroaig QA Cask","7.27","0.56","9","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Compass Box The General","9.19","0.28","10","$$$$$+","Scotch-like","","","Scotland","Blend"
"Compass Box The Circus","8.94","0.29","4","$$$$$","Scotch-like","","","Scotland","Blend"
"Compass Box Hedonism Quindecimus","8.92","0.42","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Powers 12yo John's Lane","8.82","0.39","14","$$$$","Scotch-like","","","Ireland","Blend"
"Ballantine's 17yo","8.79","0.34","14","$$$$","Scotch-like","","","Scotland","Blend"
"High West Campfire","8.78","0.34","11","$$$$","Scotch-like","","","USA","Blend"
"Yellow Spot","8.78","0.26","14","$$$$","Scotch-like","","","Ireland","Blend"
"Chivas Regal 25yo","8.72","0.21","7","$$$$$+","Scotch-like","","","Scotland","Blend"
"The Irishman Cask Strength","8.68","0.25","4","$$$$$","Scotch-like","","","Ireland","Blend"
"Powers 12yo Reserve","8.63","0.26","6","$$$","Scotch-like","","","Ireland","Blend"
"Jameson 18yo Limited Reserve","8.62","0.24","9","$$$$$","Scotch-like","","","Ireland","Blend"
"Compass Box Great King St Artist's Blend","8.60","0.37","18","$$","Scotch-like","","","Scotland","Blend"
"Nikka Coffey Grain","8.60","0.48","15","$$$$","Scotch-like","","","Japan","Grain"
"Compass Box Great King St Glasgow Blend","8.58","0.25","11","$$$","Scotch-like","","","Scotland","Blend"
"Chivas Royal Salute 21yo","8.57","0.63","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Jameson Cooper's Croze Irish Whiskey","8.55","0.29","6","$$$$","Scotch-like","","","Ireland","Blend"
"Compass Box Hedonism","8.54","0.46","17","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Blue Label","8.54","0.37","14","$$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Green Label","8.54","0.40","17","$$$$","Scotch-like","","","Scotland","Blend"
"Cutty Sark Prohibition","8.53","0.47","11","$$","Scotch-like","","","Scotland","Blend"
"Teeling Single Grain (Wine Cask Finish)","8.53","0.32","10","$$$","Scotch-like","","","Ireland","Grain"
"The Nikka 12yo Premium Blended","8.53","0.16","3","$$$$","Scotch-like","","","Japan","Blend"
"Writers Tears Pot Still Irish Whiskey","8.52","0.32","16","$$","Scotch-like","","","Ireland","Blend"
"Jameson Blender's Dog Irish Whiskey","8.51","0.48","4","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Gold Route","8.49","0.33","8","$$$$","Scotch-like","","","Scotland","Blend"
"Té Bheag","8.48","0.29","14","$$","Scotch-like","","","Scotland","Blend"
"Famous Grouse Gold Reserve 12yo","8.47","0.33","9","$$","Scotch-like","","","Scotland","Blend"
"Jameson Gold Reserve","8.47","0.38","10","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Platinum Label","8.46","0.41","16","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Double Black","8.43","0.43","14","$$","Scotch-like","","","Scotland","Blend"
"Three Ships 10yo","8.42","0.38","9","$$$$","Scotch-like","","","South Africa","Blend"
"Johnnie Walker Rye Cask Finish","8.40","0.55","5","$$$","Scotch-like","","","Scotland","Blend"
"Jameson 12yo Special Reserve","8.38","0.24","9","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Signature Reserve","8.38","0.31","5","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Spice Road","8.38","0.55","9","$$","Scotch-like","","","Scotland","Blend"
"Jameson Select Reserve (Black Barrel)","8.37","0.37","17","$$","Scotch-like","","","Ireland","Blend"
"Kirin 50% Blend (Fuji Gotemba)","8.36","0.48","3","$$$$","Scotch-like","","","Japan","Blend"
"Johnnie Walker Explorer’s Club The Royal Route","8.35","0.41","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Suntory Old Whisky","8.30","0.32","7","$$$","Scotch-like","","","Japan","Blend"
"Johnnie Walker Gold Label Reserve","8.29","0.34","16","$$$$","Scotch-like","","","Scotland","Blend"
"The Irishman Founder’s Reserve","8.29","0.37","7","$$","Scotch-like","","","Ireland","Blend"
"Bank Note 5yo Blended Scotch","8.28","0.58","4","$","Scotch-like","","","Scotland","Blend"
"Jameson Bold Irish Whiskey","8.28","0.37","4","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Caskmates Stout Edition","8.28","0.47","8","$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Black Label","8.28","0.47","22","$$","Scotch-like","","","Scotland","Blend"
"Jameson Distiller's Safe Irish Whiskey","8.26","0.65","4","$$$$","Scotch-like","","","Ireland","Blend"
"Suntory The Chita Single Grain","8.25","0.47","4","$$$","Scotch-like","","","Japan","Blend"
"Black Bottle (pre-2013)","8.24","0.50","13","$$","Scotch-like","","","Scotland","Blend"
"Chivas Regal 18yo","8.24","0.53","14","$$$$","Scotch-like","","","Scotland","Blend"
"Bain's Cape Mountain Whisky","8.23","0.49","8","$$","Scotch-like","","","South Africa","Grain"
"Compass Box Asyla","8.23","0.49","12","$$$","Scotch-like","","","Scotland","Blend"
"Glendalough Double Barrel","8.23","0.38","6","$$","Scotch-like","","","Ireland","Grain"
"Powers Signature Release","8.23","0.54","4","$$$","Scotch-like","","","Ireland","Blend"
"Suntory Toki","8.22","0.47","6","$$$","Scotch-like","","","Japan","Blend"
"Famous Jubilee","8.15","0.13","3","$$","Scotch-like","","","Scotland","Blend"
"The Irishman Original Clan Irish Whiskey","8.15","0.22","4","$$","Scotch-like","","","Ireland","Blend"
"Teeling Poitin","8.14","0.24","5","$$","Scotch-like","","","Ireland","Blend"
"Kilbeggan 8yo Single Grain (Greenore)","8.13","0.37","11","$$","Scotch-like","","","Ireland","Grain"
"Catto's Rare Old","8.12","0.74","5","$","Scotch-like","","","Scotland","Blend"
"Yamazakura 16yo Blended Whisky","8.09","0.53","3","$$$$$","Scotch-like","","","Japan","Blend"
"Three Ships 5yo","8.06","0.49","9","$","Scotch-like","","","South Africa","Blend"
"2 Gingers Irish Whiskey","8.05","0.34","3","$$","Scotch-like","","","Ireland","Blend"
"Cutty Sark Storm","8.05","0.50","8","$","Scotch-like","","","Scotland","Blend"
"West Cork Original Irish Whiskey","8.02","0.49","3","$$","Scotch-like","","","Ireland","Blend"
"Powers Gold Label","7.99","0.52","11","$$","Scotch-like","","","Ireland","Blend"
"Famous Grouse Smoky Black (Black Grouse)","7.98","0.46","19","$$","Scotch-like","","","Scotland","Blend"
"Kakubin (Suntory Whisky)","7.98","0.82","5","$$","Scotch-like","","","Japan","Blend"
"Tullamore Dew Blended 12yo","7.98","0.33","10","$$$","Scotch-like","","","Ireland","Blend"
"Teacher's Highland Cream","7.97","0.71","11","$","Scotch-like","","","Scotland","Blend"
"Grant's Blended Sherry Cask","7.94","0.20","5","$","Scotch-like","","","Scotland","Blend"
"Islay Mist 8yo","7.93","0.45","9","$","Scotch-like","","","Scotland","Blend"
"Compass Box Orangerie","7.91","0.82","7","$$","Scotch-like","","","Scotland","Blend"
"Black Bottle (after 2013 re-launch)","7.90","0.51","11","$$","Scotch-like","","","Scotland","Blend"
"Dewar's 12yo","7.90","0.28","12","$$","Scotch-like","","","Scotland","Blend"
"Jameson Lively Irish Whiskey","7.90","0.37","3","$$$$","Scotch-like","","","Ireland","Blend"
"Johnnie Walker Explorer’s Club The Adventurer","7.90","0.08","3","$$","Scotch-like","","","Scotland","Blend"
"Jameson Irish Whiskey","7.84","0.51","19","$$","Scotch-like","","","Ireland","Blend"
"Tullamore Dew Blended","7.83","0.38","17","$$","Scotch-like","","","Ireland","Blend"
"White Oak Akashi Blended","7.81","0.64","7","$$$","Scotch-like","","","Japan","Blend"
"Chivas Regal 12yo","7.80","0.42","21","$$","Scotch-like","","","Scotland","Blend"
"Bushmills Original Blended","7.69","0.46","16","$$","Scotch-like","","","Ireland","Blend"
"Famous Grouse","7.66","0.54","18","$","Scotch-like","","","Scotland","Blend"
"Grant's Family Reserve Blended","7.66","0.65","13","$","Scotch-like","","","Scotland","Blend"
"Ballantine's Finest","7.63","0.60","12","$","Scotch-like","","","Scotland","Blend"
"Bell's Original Scotch Whisky","7.59","0.75","7","$","Scotch-like","","","Scotland","Blend"
"Cutty Sark","7.52","0.46","14","$","Scotch-like","","","Scotland","Blend"
"Dewar's White Label","7.52","0.70","13","$$","Scotch-like","","","Scotland","Blend"
"The Quiet Man Traditional Irish Whiskey","7.51","1.12","6","$$","Scotch-like","","","Ireland","Blend"
"P&M Blended Whisky","7.45","0.98","5","$","Scotch-like","","","France","Blend"
"Johnnie Walker Red Label","7.42","0.60","19","$","Scotch-like","","","Scotland","Blend"
"Whyte & Mackay Special Reserve","7.39","0.43","6","$","Scotch-like","","","Scotland","Blend"
"J&B Rare","7.11","1.01","10","$","Scotch-like","","","Scotland","Blend"
"Yamazakura Blended Whisky","6.63","1.16","3","$$$","Scotch-like","","","Japan","Blend"
"Booker's Rye","9.28","0.21","8","$$$$$+","Rye-like","","","USA","Rye"
"Lot 40 Cask Strength","9.23","0.19","3","","Rye-like","","","Canada","Rye"
"High West Rocky Mountain Rye 16yo","9.18","0.33","4","$$$$$","Rye-like","","","USA","Rye"
"High West Rocky Mountain Rye 21yo","9.14","0.24","7","$$$$$+","Rye-like","","","USA","Rye"
"Thomas H. Handy Sazerac","9.12","0.21","14","$$$$$+","Rye-like","","","USA","Rye"
"High West Midwinter Night’s Dram Rye","9.10","0.19","11","$$$$$","Rye-like","","","USA","Rye"
"Canadian Club 30yo","9.02","0.19","6","$$$$$","Rye-like","","","Canada","Blend"
"Gibson's Finest Rare 18yo","9.01","0.33","10","$$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Legacy","9.01","0.33","15","$$","Rye-like","","","Canada","Blend"
"Canadian Rockies 21yo","8.99","0.29","7","$$$","Rye-like","","","Canada","Blend"
